Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1749488586,40,,Aggregated,20.500000,15.900000,3,3,3,4,11,15,18,19,22,22,22,651,468,3,4.103645007626745,1.4734999858774245,22.071100014727563,46.03840245775729
1749488587,40,,Aggregated,19.900000,15.000000,3,3,3,4,10,15,18,19,22,22,22,674,488,3,4.059151038643213,1.4734999858774245,22.071100014727563,45.62017804154303
1749488588,40,,Aggregated,20.200000,15.000000,3,3,3,4,10,15,18,19,22,22,22,693,505,3,4.026190620471763,1.4734999858774245,22.071100014727563,45.24386724386724
1749488589,40,,Aggregated,20.300000,15.500000,3,3,3,4,10,14,18,19,22,22,22,708,518,3,4.006512146979166,1.4734999858774245,22.071100014727563,45.029661016949156
1749488590,40,,Aggregated,19.900000,15.200000,3,3,3,4,10,14,18,19,22,22,22,727,532,3,3.9926156810128695,1.4734999858774245,22.071100014727563,45.02888583218707
1749488591,40,,Aggregated,20.500000,15.800000,3,3,3,4,10,14,18,19,22,22,22,751,550,3,3.976093741805329,1.4734999858774245,22.071100014727563,44.96138482023968
1749488592,40,,Aggregated,20.200000,15.500000,3,3,3,4,9,14,18,19,22,22,22,766,561,3,3.9630144909823644,1.4734999858774245,22.071100014727563,44.9490861618799
1749488593,40,,Aggregated,20.100000,15.100000,3,3,3,4,9,14,18,19,22,22,22,786,578,3,3.948617557421535,1.4734999858774245,22.071100014727563,44.68447837150127
1749488594,40,,Aggregated,19.800000,15.000000,3,3,3,4,7,13,18,19,22,22,22,803,590,3,3.922629016337007,1.4734999858774245,22.071100014727563,44.72727272727273
1749488595,40,,Aggregated,19.500000,15.100000,3,3,3,4,6,13,18,19,22,22,22,822,606,3,3.8916225062310468,1.4734999858774245,22.071100014727563,44.50608272506083
1749488596,40,,Aggregated,19.300000,15.200000,3,3,3,4,6,13,18,19,22,22,22,839,619,3,3.8682915376753493,1.4734999858774245,22.071100014727563,44.45053635280095
1749488597,40,,Aggregated,19.100000,15.100000,3,3,3,4,5,13,18,19,22,22,22,860,634,3,3.8460158140244243,1.4734999858774245,22.071100014727563,44.486046511627904
1749488598,40,,Aggregated,18.800000,15.000000,3,3,3,4,5,13,18,19,22,22,22,878,648,3,3.826916742700487,1.4734999858774245,22.071100014727563,44.40774487471526
